Exchange rate
About these rates
These rates are mid rates and are included here to be able to calculate an indicative total value for multi-currency accounts. The rates are explicitly not buy or sell rates.
Exchange Rates
Base Currency,Target Currency,Symbol,Currency Description,Exponent,Exchange Rate,Exchange Rate (Platform Settlement),Valid From
ALL,HKD,$,Hong Kong Dollar,2,0.09243364054784191,0.09643592189115054,2026-07-08T02:00:00Z
ALL,HNL,,Honduras Lempira,2,0.31551533915810764,0.335031751889537,2026-07-08T02:00:00Z
ALL,HRK,,Croatia Kuna,2,0.07783901831944239,0.08265380295775841,2026-07-08T02:00:00Z
ALL,HTG,,Haitian Gourde,2,1.537695885860411,1.6328110952950756,2026-07-08T02:00:00Z
ALL,HUF,Ft,Hungarian Forint,2,3.6716420612820784,3.8987539413613828,2026-07-08T02:00:00Z
ALL,IDR,,Indonesian Rupiah,0,211.8558079730925,224.96029094050033,2026-07-08T02:00:00Z
ALL,ILS,₪,New Israeli Scheqel,2,0.03589510507013107,0.038115420847664956,2026-07-08T02:00:00Z
ALL,INR,₨,Indian Rupee,2,1.119299669141317,1.1885347002222233,2026-07-08T02:00:00Z
ALL,IQD,,Iraqi Dinar,3,15.440075067484413,16.395131257225717,2026-07-08T02:00:00Z
ALL,ISK,,Iceland Krona,2,1.4834621994087889,1.5752227478258276,2026-07-08T02:00:00Z
ALL,JMD,,Jamaican Dollar,2,1.8662179705310515,1.9816541336566835,2026-07-08T02:00:00Z
ALL,JOD,,Jordanian Dinar,3,0.008356239958548142,0.008873120780726378,2026-07-08T02:00:00Z
ALL,JPY,¥,Japanese Yen,0,1.9132437091319234,1.9960851893211407,2026-07-08T02:00:00Z
ALL,KES,,Kenyan Shilling,2,1.52335850585859,1.6175868670457192,2026-07-08T02:00:00Z
ALL,KGS,,Kyrgyzstan Som,2,1.0306978013580488,1.0944523045348356,2026-07-08T02:00:00Z
ALL,KHR,,Cambodia Riel,2,47.84292173831544,50.802277722128764,2026-07-08T02:00:00Z
ALL,KMF,,Comoro Franc,0,5.082525794249886,5.3969088330694674,2026-07-08T02:00:00Z
ALL,KRW,₩,South-Korean Won,0,17.883694476795426,18.989902382576588,2026-07-08T02:00:00Z
ALL,KWD,,Kuwaiti Dinar,3,0.003654595889641349,0.0038806533673511234,2026-07-08T02:00:00Z
ALL,KYD,,Cayman Islands Dollar,2,0.009664662769638111,0.01026247696157449,2026-07-08T02:00:00Z
